product_id,product_name,category,price,availability
101,iPhone 12,Electronics,999.99,In Stock
102,MacBook Air,Electronics,1299.99,In Stock
103,Nike Air Max,Fashion,99.99,In Stock
104,"Samsung TV 55""",Electronics,799.99,Out of Stock
105,KitchenAid Mixer,Appliances,249.99,In Stock
106,Sony PlayStation 5,Electronics,499.99,In Stock
107,Adidas Ultraboost,Fashion,129.99,In Stock
108,"LG OLED TV 65""",Electronics,1799.99,Out of Stock
109,Instant Pot,Appliances,119.99,In Stock
110,Apple Watch Series 6,Electronics,399.99,In Stock
111,Levi's Jeans,Fashion,59.99,In Stock
112,Dyson Vacuum Cleaner,Appliances,399.99,Out of Stock
113,Sony Noise Cancelling Headphones,Electronics,299.99,In Stock
114,Nike Hoodie,Fashion,49.99,In Stock
115,Keurig Coffee Maker,Appliances,89.99,In Stock
116,Xbox Series X,Electronics,499.99,Out of Stock
117,Under Armour Running Shoes,Fashion,79.99,In Stock
118,Samsung Galaxy Tab,Electronics,299.99,In Stock
119,Calphalon Cookware Set,Appliances,199.99,Out of Stock
120,Fitbit Charge 4,Electronics,149.99,In Stock
121,Gap T-Shirt,Fashion,19.99,In Stock
122,Breville Toaster,Appliances,79.99,In Stock
123,Google Nest Thermostat,Electronics,249.99,Out of Stock
124,Ray-Ban Sunglasses,Fashion,129.99,In Stock
125,Cuisinart Food Processor,Appliances,149.99,In Stock
126,GoPro Hero 9,Electronics,349.99,Out of Stock
127,Coach Handbag,Fashion,199.99,In Stock
128,Amazon Echo Show,Electronics,229.99,In Stock
129,The North Face Jacket,Fashion,149.99,Out of Stock
130,KitchenAid Stand Mixer,Appliances,299.99,In Stock
131,Polo Ralph Lauren Polo Shirt,Fashion,79.99,In Stock
132,De'Longhi Espresso Machine,Appliances,249.99,In Stock
133,"Sony 65"" 4K Smart TV",Electronics,1099.99,Out of Stock
134,Adidas Tracksuit,Fashion,89.99,In Stock
135,Dyson Air Purifier,Appliances,399.99,In Stock
136,Nintendo Switch,Electronics,299.99,Out of Stock
137,Vans Sneakers,Fashion,49.99,In Stock
138,Bose Soundbar,Electronics,299.99,In Stock
139,Patagonia Jacket,Fashion,199.99,Out of Stock
140,Krups Coffee Grinder,Appliances,29.99,In Stock
141,Lululemon Leggings,Fashion,99.99,In Stock
142,KitchenAid Blender,Appliances,99.99,In Stock
143,Google Pixel 5,Electronics,699.99,Out of Stock
144,Tommy Hilfiger Shirt,Fashion,39.99,In Stock
145,Bissell Vacuum Cleaner,Appliances,149.99,In Stock
146,Sony WH-1000XM4 Headphones,Electronics,349.99,Out of Stock
147,Champion Hoodie,Fashion,59.99,In Stock
148,HP Laptop,Electronics,899.99,In Stock
149,Michael Kors Watch,Fashion,249.99,Out of Stock
150,Crock-Pot Slow Cooker,Appliances,49.99,In Stock
